review_id,review_title,review_date,review_rating,review_content,review_location
656d634a399fd285acfe871c,Order was exactly what I wanted.,2023-11-20,5,,US
656d00bad0465bfd86656e58,Secure payment method,2023-11-16,5,Secure payment method. Prompt delivery and in good condition.All I have ever heard is good things about your company.,US
656cc47c7fe0c4b9efcd7024,Looked up on website,2023-11-12,5,Looked up on website. Found 3 inch metal caps for square posts   Fit great,US
656bfe82149f6c3777db3874,Quality and competitive price,2023-11-15,5,The quality of the post base and shoe are great as well as a good price. I am glad to have found Steel Supply.,US
656b877f629c2709783f8ea3,Hard to find products like yours,2023-11-22,5,,US
656a154e75aa83a67571b9c3,The item was exactly what I wanted.,2023-11-21,5,,US
6569cbd2509c8cfe9e7bde69,Ships very quickly,2023-11-21,5,"Ships very quickly, and reliable",US
656951740b3816059983100f,OLD Tech Playing,2023-11-20,5,Went well. Got what I needed.,US
6569242159ee666510267276,You did great but because of postal…,2023-11-20,5,You did great but because of postal delays (6 days and counting) I have yet to receive the package and my project is stalled.,US
6568d1d3a26e69b1986a64b5,Great place to order from,2023-11-13,5,Great customer service and fast shipping,US
656880cb0edfbd01eecdc9b2,Exactly what we needed to finish our…,2023-11-10,5,Exactly what we needed to finish our project. Shipping was fast. The price was excellent. Thanks for making my life easier!,US
65684e181f1771fab4ac3b7f,I received my cast iron piece quickly,2023-11-11,5,"I received my cast iron piece quickly. It looks great, and I was able to weld it to my steel gate easily.",US
65678583326d8bd85d625456,Great product and fast shipping,2023-11-12,5,,US
6567364cc54bcc35649053e0,Great product,2023-11-18,5,"Great product, well packed and quickly shipped.",US
6566df98912e4838146484d0,Awesome service and exactly what I was…,2023-11-11,5,Awesome service and exactly what I was looking for! Great prices and shipping was fast!,US
